Number	Offset	Address		Size	Type	String
0	0000004d	0040004d	PE Header	28	A	!This program cannot be run in DOS mode.
1	000001f8	004001f8	PE Header	05	A	.text
2	0000021f	0040021f	PE Header	07	A	`.rdata
3	00000247	00400247	PE Header	06	A	@.data
4	00000270	00400270	PE Header	05	A	.rsrc
14867	0038370c	0078370c	Section(1)['.rdata']	12	A	CAboutRobloxDialog
14868	00383928	00783928	Section(1)['.rdata']	08	A	ButtonOK
14869	0038393c	0078393c	Section(1)['.rdata']	06	A	glInfo
14870	00383944	00783944	Section(1)['.rdata']	08	A	renderer
14871	00383950	00783950	Section(1)['.rdata']	06	A	vendor
14872	00383958	00783958	Section(1)['.rdata']	0d	A	driverVersion
14873	00383968	00783968	Section(1)['.rdata']	09	A	glVersion
14874	00383974	00783974	Section(1)['.rdata']	0a	A	systemInfo
14875	00383980	00783980	Section(1)['.rdata']	07	A	Version
14876	00383988	00783988	Section(1)['.rdata']	07	A	TypeLib
14877	00383990	00783990	Section(1)['.rdata']	08	A	Software
14878	0038399c	0078399c	Section(1)['.rdata']	06	A	SYSTEM
14879	003839a4	007839a4	Section(1)['.rdata']	08	A	SECURITY
14880	003839bc	007839bc	Section(1)['.rdata']	08	A	Hardware
14881	003839c8	007839c8	Section(1)['.rdata']	09	A	Interface
14882	003839d4	007839d4	Section(1)['.rdata']	08	A	FileType
14883	003839e0	007839e0	Section(1)['.rdata']	14	A	Component Categories
14884	003839f8	007839f8	Section(1)['.rdata']	05	A	CLSID
14885	00383a00	00783a00	Section(1)['.rdata']	05	A	AppID
14886	00383a08	00783a08	Section(1)['.rdata']	06	A	Delete
14887	00383a10	00783a10	Section(1)['.rdata']	08	A	NoRemove
14888	00383a1c	00783a1c	Section(1)['.rdata']	0b	A	ForceRemove
14889	00383cf1	00783cf1	Section(1)['.rdata']	05	A	@Qm6t
14890	00383da4	00783da4	Section(1)['.rdata']	11	A	HKEY_CLASSES_ROOT
14891	00383db8	00783db8	Section(1)['.rdata']	11	A	HKEY_CURRENT_USER
14892	00383dcc	00783dcc	Section(1)['.rdata']	12	A	HKEY_LOCAL_MACHINE
14893	00383de0	00783de0	Section(1)['.rdata']	0a	A	HKEY_USERS
